answer,depth,len,used_facts,used_rules,premise,hypothesis,count_rules
False,3,5,"[array(['The cat sees the bear.', 'The cat sees the bear.'], dtype=object)]","[array(['If someone sees the bear then they need the mouse.',
        'If someone needs the mouse then they are big.',
        'If someone sees the bear and they are big then they like the cow.'],
       dtype=object)                                                         ]",The bear likes the cat. The mouse sees the cow. The cat likes the bear. The mouse likes the cat. The cat sees the bear. The cow is rough. The cat sees the cow. The bear is kind. The cat needs the cow. The mouse needs the bear.  If someone needs the mouse then they are big. If someone likes the cow then the cow sees the bear. If someone sees the bear and they are big then they like the cow. If the bear is red and the bear needs the cow then the cow needs the bear. If someone needs the bear and the bear needs the cow then the bear needs the cat. If someone is kind then they see the cat. If the cat needs the mouse then the mouse needs the cow. If someone sees the bear then they need the mouse. ,The cat does not like the cow.,3
True,3,6,"[array(['The bear needs the lion.', 'The squirrel chases the bear.',
        'The squirrel eats the lion.'], dtype=object)               ]","[array(['If someone chases the bear and they eat the lion then the lion is cold.',
        'If someone needs the lion and the lion is cold then they are rough.',
        'If someone is rough then they need the squirrel.'], dtype=object)        ]",The lion eats the squirrel. The squirrel chases the bear. The squirrel is kind. The lion needs the squirrel. The bear needs the lion. The lion is kind. The squirrel eats the lion. The lion does not eat the bear. The lion does not need the bear. The bear eats the squirrel. The lion chases the bear. The lion is not green.  If someone needs the lion and the lion is cold then they are rough. If the lion eats the bear then the bear does not chase the lion. If someone needs the squirrel and they are not kind then the squirrel does not need the lion. If someone chases the bear and they eat the lion then the lion is cold. If the lion eats the bear and the bear chases the squirrel then the bear is nice. If someone chases the bear and they do not eat the squirrel then they eat the bear. If someone is nice then they eat the bear. If someone is rough then they need the squirrel. ,The bear needs the squirrel.,3
True,3,5,"[array(['Harry is red.', 'Harry is red.'], dtype=object)]","[array(['If someone is red then they are kind.',
        'If Harry is kind then Harry is blue.',
        'All red, blue people are smart.'], dtype=object)]","Dave is not red. Dave is white. Dave is smart. Dave is not blue. Fiona is kind. Harry is red. Bob is smart. Dave is cold. Bob is not kind. Dave is kind. Fiona is white. Fiona is smart.  If Harry is kind then Harry is blue. If Harry is kind and Harry is not red then Harry is not blue. If someone is blue and not red then they are young. If Fiona is not kind then Fiona is blue. If Harry is young and Harry is smart then Harry is white. If someone is red then they are kind. All young people are smart. If someone is smart and blue then they are young. All red, blue people are smart. ",Harry is smart.,3
True,3,5,"[array(['The dog is nice.', 'The dog chases the cat.'], dtype=object)]","[array(['If something is nice then it eats the dog.',
        'If something eats the dog and it chases the cat then it sees the dog.',
        'If something sees the dog then it chases the dog.'], dtype=object)     ]",The cat eats the dog. The dog chases the cat. The dog is young. The cat sees the dog. The dog is round. The cat is young. The dog is nice. The cat is nice. The cat chases the dog. The dog is blue. The cat is blue. The dog is green. The cat is green. The dog eats the cat. The cat is round. The dog sees the cat.  If something sees the dog then it chases the dog. If something chases the dog and it is blue then it is nice. If something is young and it chases the dog then it sees the dog. If something sees the cat then it eats the cat. If something chases the cat and it sees the dog then the dog is nice. If something is nice and it chases the cat then the cat eats the dog. If something eats the dog and it chases the cat then it sees the dog. If something is nice then it eats the dog. ,The dog chases the dog.,3
False,3,5,"[array(['The mouse needs the bald eagle.', 'The bear eats the mouse.'],
       dtype=object)                                                   ]","[array(['If something eats the mouse then the mouse is nice.',
        'If something is nice then it needs the bear.',
        'If something needs the bald eagle and it needs the bear then the bald eagle needs the bear.'],
       dtype=object)                                                                                   ]",The bear eats the mouse. The bald eagle sees the dog. The dog eats the bear. The bald eagle is young. The bear is young. The mouse eats the bear. The mouse needs the bald eagle.  If something needs the bald eagle and it needs the bear then the bald eagle needs the bear. If something eats the mouse then the mouse is nice. If something is nice then it needs the bear. If something eats the bald eagle then it needs the mouse. If something eats the dog and the dog is big then it eats the bear. If something is cold then it eats the bald eagle. ,The bald eagle does not need the bear.,3
True,3,4,"[array(['Dave is smart.'], dtype=object)
 array(['Dave is green.'], dtype=object)]","[array(['If someone is smart then they are quiet.',
        'All quiet people are round.', 'All round people are young.'],
       dtype=object)
 array(['If someone is green then they are smart.',
        'If someone is smart then they are quiet.',
        'All quiet people are round.', 'All round people are young.'],
       dtype=object)                                                  ]","Charlie is smart. Charlie is young. Dave is smart. Dave is green. Gary is young. Charlie is quiet. Gary is quiet. Dave is furry. Anne is green. Charlie is green.  All quiet people are round. If Gary is green and Gary is furry then Gary is young. All young people are blue. If someone is smart then they are quiet. Round people are furry. If someone is blue and quiet then they are furry. All quiet, blue people are smart. All round people are young. If someone is green then they are smart. ",Dave is young.,3
False,3,5,"[array(['Gary is rough.', 'Gary is not big.'], dtype=object)]","[array(['If Gary is not big then Gary is cold.',
        'If something is cold then it is round.',
        'If Gary is rough and Gary is round then Gary is young.'],
       dtype=object)                                              ]",Anne is round. Anne is blue. Anne is rough. Gary is rough. Anne is not big. Gary is not big. Gary is blue.  If something is cold and not nice then it is not rough. If something is cold and nice then it is young. If Gary is not big then Gary is cold. If Gary is rough and Gary is round then Gary is young. If something is cold then it is round. All nice things are round. ,Gary is not young.,3
True,3,4,"[array(['Charlie is young.'], dtype=object)]","[array(['If someone is young then they are nice.',
        'If someone is nice then they are rough.',
        'If someone is rough then they are blue.'], dtype=object)]",Bob is blue. Charlie is young. Bob is nice. Dave is smart. Dave is rough. Bob is smart. Erin is furry. Dave is cold. Bob is cold. Erin is smart.  If someone is young then they are nice. If someone is nice then they are rough. If someone is rough then they are blue. ,Charlie is blue.,3
True,3,5,"[array(['The bald eagle chases the tiger.',
        'The bald eagle likes the mouse.'], dtype=object)]","[array(['If someone chases the tiger then they are round.',
        'If someone is round then they are green.',
        'If someone is green and they like the mouse then the mouse chases the tiger.'],
       dtype=object)                                                                    ]",The bald eagle likes the mouse. The squirrel sees the mouse. The bald eagle likes the tiger. The tiger chases the bald eagle. The tiger chases the mouse. The mouse likes the tiger. The bald eagle sees the squirrel. The squirrel is big. The bald eagle chases the tiger. The tiger is rough. The tiger is round. The tiger sees the bald eagle.  If someone is rough then they chase the mouse. If someone is round then they are green. If someone is green and they like the mouse then the mouse chases the tiger. If someone likes the tiger and the tiger is round then the tiger is green. If someone chases the squirrel then the squirrel sees the tiger. If someone chases the tiger and they like the squirrel then the squirrel sees the mouse. If someone chases the tiger then they are round. If someone likes the squirrel and the squirrel chases the tiger then the tiger is round. If someone chases the squirrel and they like the squirrel then they see the mouse. ,The mouse chases the tiger.,3
True,3,4,"[array(['Harry is nice.'], dtype=object)]","[array(['If something is nice then it is round.',
        'If something is round then it is white.',
        'All white things are cold.'], dtype=object)]","Erin is nice. Harry is nice. Gary is cold. Anne is young.  If something is round then it is white. All white things are cold. If Anne is nice and Anne is young then Anne is quiet. If something is quiet and white then it is nice. If something is round and young then it is nice. If something is nice then it is round. Quiet things are cold. All white, cold things are round. ",Harry is cold.,3
True,3,6,"[array(['Bob is kind.', 'Bob is kind.'], dtype=object)]","[array(['If Bob is kind then Bob is white.',
        'If something is white then it is nice.',
        'If Bob is kind then Bob is white.',
        'Nice, white things are quiet.'], dtype=object)]","Charlie is nice. Gary is nice. Charlie is smart. Gary is white. Bob is kind. Charlie is cold. Charlie is quiet. Gary is quiet. Fiona is quiet. Charlie is kind. Fiona is smart.  White, smart things are rough. If something is white then it is nice. All nice things are white. Nice, white things are quiet. Smart, kind things are rough. If Fiona is cold then Fiona is nice. All cold things are white. Quiet, kind things are smart. If Bob is kind then Bob is white. ",Bob is quiet.,3
True,3,4,"[array(['Dave is round.'], dtype=object)
 array(['Dave is white.'], dtype=object)]","[array(['Round things are big.', 'If something is big then it is cold.',
        'All cold things are furry.'], dtype=object)
 array(['White things are round.', 'Round things are big.',
        'If something is big then it is cold.',
        'All cold things are furry.'], dtype=object)       ]","Erin is white. Dave is white. Erin is cold. Anne is young. Anne is cold. Gary is cold. Gary is young. Anne is big. Erin is young. Dave is round.  All furry, big things are young. If Gary is cold then Gary is white. All white, young things are nice. White things are round. If Erin is round then Erin is young. If something is big then it is cold. Furry, round things are big. Round things are big. All cold things are furry. ",Dave is furry.,3
False,3,7,"[array(['Dave is quiet.', 'Dave is quiet.', 'Dave is quiet.'], dtype=object)
 array(['Dave is quiet.', 'Dave is quiet.', 'Dave is quiet.'], dtype=object)]","[array(['All quiet people are round.',
        'If someone is quiet and round then they are red.',
        'All quiet people are round.',
        'If someone is red and round then they are smart.'], dtype=object)
 array(['All quiet people are round.',
        'If someone is quiet and round then they are red.',
        'All quiet people are round.',
        'If someone is red and round then they are smart.'], dtype=object)]","Bob is quiet. Bob is big. Dave is quiet. Bob is nice. Dave is green. Gary is round. Gary is green. Harry is green. Harry is red. Gary is red. Harry is round.  All quiet people are round. If someone is quiet and round then they are red. If someone is red and round then they are smart. Nice, quiet people are big. If Bob is green then Bob is big. If someone is big and nice then they are quiet. All quiet, smart people are nice. If someone is big and red then they are nice. ",Dave is not smart.,3
True,3,5,"[array(['Harry is big.', 'Harry is young.'], dtype=object)]","[array(['All big people are rough.',
        'If someone is rough then they are quiet.',
        'If someone is quiet and young then they are smart.'], dtype=object)]","Erin is quiet. Harry is young. Harry is big. Gary is smart. Dave is rough. Erin is rough. Gary is furry.  All round people are smart. If someone is rough and smart then they are furry. Furry people are rough. If someone is rough then they are quiet. Furry people are young. If someone is quiet and young then they are smart. Smart, quiet people are furry. If someone is furry then they are round. All big people are rough. ",Harry is smart.,3
False,3,4,"[array(['The squirrel likes the bald eagle.'], dtype=object)]","[array(['If something likes the bald eagle then it eats the squirrel.',
        'If something eats the squirrel then it chases the squirrel.',
        'If something chases the squirrel then it is rough.'], dtype=object)]",The bald eagle chases the squirrel. The bald eagle likes the squirrel. The squirrel eats the bald eagle. The squirrel chases the bald eagle. The squirrel is round. The squirrel likes the bald eagle. The bald eagle eats the squirrel.  Red things are green. If something eats the squirrel then it chases the squirrel. If the squirrel likes the bald eagle and the squirrel is green then the squirrel eats the bald eagle. If something eats the squirrel then the squirrel chases the bald eagle. If something chases the bald eagle then the bald eagle chases the squirrel. If something chases the squirrel then it is rough. All red things are rough. If something likes the bald eagle then it eats the squirrel. ,The squirrel is not rough.,3
True,3,5,"[array(['Anne is kind.', 'Anne is kind.'], dtype=object)]","[array(['Kind things are nice.',
        'If Anne is kind and Anne is nice then Anne is cold.',
        'Cold things are rough.'], dtype=object)              ]","Anne is kind. Dave is white. Fiona is nice. Fiona is rough. Bob is rough. Dave is green. Bob is white. Dave is cold. Bob is cold. Fiona is cold.  Cold things are rough. If Anne is kind and Anne is nice then Anne is cold. White, round things are green. If something is nice and round then it is white. Kind things are nice. If something is rough then it is round. ",Anne is rough.,3
True,3,5,"[array(['The tiger needs the squirrel.', 'The tiger is rough.'],
       dtype=object)
 array(['The squirrel is rough.', 'The squirrel visits the tiger.',
        'The tiger is rough.'], dtype=object)                      ]","[array(['Rough things are green.',
        'If something needs the squirrel and it is green then the squirrel needs the tiger.',
        'If something needs the tiger then it needs the squirrel.'],
       dtype=object)
 array(['Rough things are green.',
        'If something is green and it visits the tiger then the tiger needs the squirrel.',
        'Rough things are green.',
        'If something needs the squirrel and it is green then the squirrel needs the tiger.',
        'If something needs the tiger then it needs the squirrel.'],
       dtype=object)                                                                         ]",The squirrel is rough. The squirrel is kind. The squirrel visits the tiger. The tiger is big. The tiger visits the squirrel. The tiger is rough. The tiger needs the squirrel.  Rough things are green. If something needs the tiger and it does not eat the squirrel then the squirrel is not round. If something needs the tiger then it needs the squirrel. If something is green and it visits the tiger then the tiger needs the squirrel. If the squirrel does not eat the tiger then the squirrel does not need the tiger. If something needs the squirrel and it is green then the squirrel needs the tiger. ,The squirrel needs the squirrel.,3
False,3,5,"[array(['Fiona is quiet.', 'Fiona is quiet.'], dtype=object)]","[array(['All quiet things are rough.',
        'If something is rough then it is cold.',
        'If something is quiet and cold then it is smart.'], dtype=object)]","Bob is quiet. Dave is smart. Dave is kind. Charlie is quiet. Bob is smart. Charlie is red. Fiona is quiet. Dave is cold. Bob is cold. Charlie is kind. Charlie is rough. Bob is red.  If something is quiet and cold then it is smart. All quiet things are rough. If Dave is smart and Dave is kind then Dave is quiet. All red things are rough. Red, cold things are round. If something is kind and rough then it is red. If something is rough then it is cold. Cold, smart things are red. ",Fiona is not smart.,3
True,3,5,"[array(['Anne is kind.', 'Anne is kind.'], dtype=object)]","[array(['Kind things are nice.',
        'If Anne is kind and Anne is nice then Anne is cold.',
        'Cold things are rough.'], dtype=object)              ]","Anne is kind. Dave is white. Fiona is nice. Fiona is rough. Bob is rough. Dave is green. Bob is white. Dave is cold. Bob is cold. Fiona is cold.  Cold things are rough. If Anne is kind and Anne is nice then Anne is cold. White, round things are green. If something is nice and round then it is white. Kind things are nice. If something is rough then it is round. ",Anne is rough.,3
False,3,4,"[array(['The lion visits the squirrel.'], dtype=object)]","[array(['If something visits the squirrel then the squirrel is rough.',
        'If something is rough then it is cold.',
        'If the squirrel is cold then the squirrel visits the cat.'],
       dtype=object)                                                   ]",The lion is round. The cat visits the lion. The lion needs the squirrel. The squirrel likes the lion. The cat needs the mouse. The mouse visits the lion. The lion is cold. The lion likes the squirrel. The mouse needs the lion. The lion is red. The lion visits the squirrel. The mouse is cold.  If something needs the mouse and it needs the lion then the lion needs the mouse. If something visits the squirrel then the squirrel is rough. If something visits the lion then it needs the cat. If something is red and it does not need the squirrel then it visits the mouse. If something visits the cat then the cat likes the mouse. If the squirrel is cold then the squirrel visits the cat. If the mouse visits the squirrel then the squirrel likes the cat. If something is rough then it is cold. If something likes the mouse then it does not need the squirrel. ,The squirrel does not visit the cat.,3
False,3,4,"[array(['Fiona is quiet.'], dtype=object)
 array(['Fiona is quiet.', 'Fiona is quiet.'], dtype=object)]","[array(['All quiet people are smart.',
        'If someone is smart then they are kind.',
        'All kind people are green.'], dtype=object)
 array(['All quiet people are smart.',
        'If someone is smart then they are kind.',
        'All quiet people are smart.', 'All kind, smart people are green.'],
       dtype=object)                                                        ]","Charlie is nice. Erin is nice. Fiona is rough. Erin is quiet. Erin is kind. Harry is smart. Fiona is quiet. Charlie is green. Charlie is kind. Charlie is rough.  If someone is green and rough then they are nice. All rough, nice people are blue. All rough, green people are quiet. If Erin is green and Erin is blue then Erin is quiet. All kind people are green. All quiet people are smart. If someone is smart then they are kind. All kind, smart people are green. ",Fiona is not green.,3
