,question,answer,ground_truth,query,length-sentences
2683, Every cow is feisty. Cows are carnivores. Each carnivore is opaque. Every carnivore is a cat. Each vertebrate is not fruity. Cats are not kind. Every cat is a feline. Felines are blue. Felines are snakes. Each snake is fruity. Every snake is a sheep. Sally is a cow. Is the following statement true or false? Sally is fruity., Sally is a cow. Cows are carnivores. Sally is a carnivore. Every carnivore is a cat. Sally is a cat. Every cat is a feline. Sally is a feline. Felines are snakes. Sally is a snake. Each snake is fruity. Sally is fruity. ,True,Sally is fruity,14
1908, Each vertebrate is bitter. Every carnivore is luminous. Carnivores are cows. Cows are not blue. Cows are animals. Animals are not dull. Animals are dogs. Dogs are not opaque. Dogs are snakes. Each snake is not bitter. Snakes are mammals. Rex is a carnivore. Is the following statement true or false? Rex is not bitter., Rex is a carnivore. Carnivores are cows. Rex is a cow. Cows are animals. Rex is an animal. Animals are dogs. Rex is a dog. Dogs are snakes. Rex is a snake. Each snake is not bitter. Rex is not bitter. ,True,Rex is not bitter,14
2198, Even numbers are large. Each prime number is sweet. Even numbers are negative numbers. Each negative number is hot. Each negative number is a natural number. Natural numbers are aggressive. Every natural number is a number. Numbers are nervous. Each number is a fraction. Fractions are not sweet. Every fraction is a composite number. Sally is an even number. Is the following statement true or false? Sally is sweet., Sally is an even number. Even numbers are negative numbers. Sally is a negative number. Each negative number is a natural number. Sally is a natural number. Every natural number is a number. Sally is a number. Each number is a fraction. Sally is a fraction. Fractions are not sweet. Sally is not sweet. ,False,Sally is sweet,14
2649, Negative numbers are amenable. Negative numbers are fractions. Every real number is not hot. Fractions are not earthy. Each fraction is an integer. Every integer is luminous. Each integer is an even number. Each even number is dull. Each even number is a Mersenne prime. Every Mersenne prime is hot. Mersenne primes are natural numbers. Sam is a negative number. Is the following statement true or false? Sam is hot., Sam is a negative number. Negative numbers are fractions. Sam is a fraction. Each fraction is an integer. Sam is an integer. Each integer is an even number. Sam is an even number. Each even number is a Mersenne prime. Sam is a Mersenne prime. Every Mersenne prime is hot. Sam is hot. ,True,Sam is hot,14
3578, Each real number is fruity. Every real number is an even number. Composite numbers are not sour. Each even number is wooden. Even numbers are prime numbers. Prime numbers are not angry. Every prime number is an integer. Each integer is opaque. Integers are fractions. Every fraction is sour. Fractions are natural numbers. Sally is a real number. Is the following statement true or false? Sally is not sour., Sally is a real number. Every real number is an even number. Sally is an even number. Even numbers are prime numbers. Sally is a prime number. Every prime number is an integer. Sally is an integer. Integers are fractions. Sally is a fraction. Every fraction is sour. Sally is sour. ,False,Sally is not sour,14
2595, Every butterfly is not large. Butterflies are arthropods. Every arthropod is not bright. Every arthropod is an invertebrate. Each invertebrate is floral. Each invertebrate is a lepidopteran. Each lepidopteran is nervous. Lepidopterans are animals. Moths are not amenable. Each animal is amenable. Every animal is a crustacean. Alex is a butterfly. Is the following statement true or false? Alex is not amenable., Alex is a butterfly. Butterflies are arthropods. Alex is an arthropod. Every arthropod is an invertebrate. Alex is an invertebrate. Each invertebrate is a lepidopteran. Alex is a lepidopteran. Lepidopterans are animals. Alex is an animal. Each animal is amenable. Alex is amenable. ,False,Alex is not amenable,14
2407, Negative numbers are not wooden. Each composite number is temperate. Each composite number is an even number. Every even number is not small. Even numbers are natural numbers. Natural numbers are not opaque. Natural numbers are real numbers. Real numbers are not feisty. Real numbers are fractions. Each fraction is wooden. Fractions are integers. Alex is a composite number. Is the following statement true or false? Alex is not wooden., Alex is a composite number. Each composite number is an even number. Alex is an even number. Even numbers are natural numbers. Alex is a natural number. Natural numbers are real numbers. Alex is a real number. Real numbers are fractions. Alex is a fraction. Each fraction is wooden. Alex is wooden. ,False,Alex is not wooden,14
1102, Each feline is sour. Each feline is an animal. Every animal is metallic. Animals are dogs. Dogs are transparent. Dogs are sheep. Every sheep is large. Each sheep is a cat. Cats are not feisty. Every cat is a mammal. Every snake is feisty. Sam is a feline. Is the following statement true or false? Sam is feisty., Sam is a feline. Each feline is an animal. Sam is an animal. Animals are dogs. Sam is a dog. Dogs are sheep. Sam is a sheep. Each sheep is a cat. Sam is a cat. Cats are not feisty. Sam is not feisty. ,False,Sam is feisty,14
1367, Insects are not temperate. Each insect is a crustacean. Crustaceans are not brown. Crustaceans are lepidopterans. Each lepidopteran is large. Every spider is fruity. Every lepidopteran is a moth. Each moth is sour. Moths are butterflies. Butterflies are not fruity. Each butterfly is an arthropod. Fae is an insect. Is the following statement true or false? Fae is fruity., Fae is an insect. Each insect is a crustacean. Fae is a crustacean. Crustaceans are lepidopterans. Fae is a lepidopteran. Every lepidopteran is a moth. Fae is a moth. Moths are butterflies. Fae is a butterfly. Butterflies are not fruity. Fae is not fruity. ,False,Fae is fruity,14
2137, Each real number is transparent. Real numbers are even numbers. Each even number is not aggressive. Mersenne primes are not sour. Even numbers are numbers. Every number is not floral. Numbers are integers. Integers are orange. Every integer is a prime number. Prime numbers are sour. Prime numbers are natural numbers. Sally is a real number. Is the following statement true or false? Sally is sour., Sally is a real number. Real numbers are even numbers. Sally is an even number. Even numbers are numbers. Sally is a number. Numbers are integers. Sally is an integer. Every integer is a prime number. Sally is a prime number. Prime numbers are sour. Sally is sour. ,True,Sally is sour,14
