Unnamed: 0,question,answer,ground_truth,query
0, Animals are not angry. Each animal is an invertebrate. Each invertebrate is shy. Each invertebrate is an ant. Ants are floral. Ants are moths. Every moth is bitter. Every lepidopteran is not floral. Moths are arthropods. Arthropods are liquid. Every arthropod is a crustacean. Crustaceans are cold. Crustaceans are insects. Each insect is not brown. Insects are butterflies. Every butterfly is opaque. Butterflies are spiders. Sam is an animal. Is the following statement true or false? Sam is floral., Sam is an animal. Each animal is an invertebrate. Sam is an invertebrate. Each invertebrate is an ant. Sam is an ant. Ants are floral. Sam is floral. ,True,Sam is floral
1, Each arthropod is feisty. Every arthropod is an ant. Ants are small. Every ant is a moth. Moths are cold. Every moth is an invertebrate. Every invertebrate is earthy. Each invertebrate is a crustacean. Each crustacean is not transparent. Each crustacean is a spider. Spiders are red. Each spider is an insect. Every insect is not bright. Butterflies are bright. Each insect is an animal. Every animal is not spicy. Animals are lepidopterans. Stella is a crustacean. Is the following statement true or false? Stella is not bright., Stella is a crustacean. Each crustacean is a spider. Stella is a spider. Each spider is an insect. Stella is an insect. Every insect is not bright. Stella is not bright. ,True,Stella is not bright
2, Real numbers are angry. Real numbers are Mersenne primes. Mersenne primes are not sweet. Every number is large. Each Mersenne prime is a negative number. Negative numbers are temperate. Negative numbers are natural numbers. Every natural number is not bright. Natural numbers are integers. Integers are transparent. Integers are even numbers. Each even number is fruity. Even numbers are prime numbers. Prime numbers are luminous. Every prime number is a fraction. Fractions are not large. Fractions are composite numbers. Fae is an even number. Is the following statement true or false? Fae is not large., Fae is an even number. Even numbers are prime numbers. Fae is a prime number. Every prime number is a fraction. Fae is a fraction. Fractions are not large. Fae is not large. ,True,Fae is not large
3, Integers are dull. Every composite number is not sweet. Integers are negative numbers. Negative numbers are brown. Each negative number is an even number. Even numbers are opaque. Even numbers are real numbers. Real numbers are not small. Every real number is a Mersenne prime. Mersenne primes are sweet. Every Mersenne prime is a natural number. Natural numbers are not floral. Every natural number is a prime number. Prime numbers are cold. Prime numbers are fractions. Fractions are not nervous. Fractions are numbers. Sam is an even number. Is the following statement true or false? Sam is sweet., Sam is an even number. Even numbers are real numbers. Sam is a real number. Every real number is a Mersenne prime. Sam is a Mersenne prime. Mersenne primes are sweet. Sam is sweet. ,True,Sam is sweet
4, Arthropods are small. Arthropods are crustaceans. Crustaceans are not red. Crustaceans are invertebrates. Invertebrates are floral. Invertebrates are lepidopterans. Each lepidopteran is not mean. Insects are not dull. Every lepidopteran is a butterfly. Butterflies are metallic. Butterflies are moths. Moths are hot. Moths are ants. Ants are dull. Every ant is an animal. Every animal is transparent. Animals are spiders. Stella is a butterfly. Is the following statement true or false? Stella is not dull., Stella is a butterfly. Butterflies are moths. Stella is a moth. Moths are ants. Stella is an ant. Ants are dull. Stella is dull. ,False,Stella is not dull
5, Integers are luminous. Integers are Mersenne primes. Each Mersenne prime is happy. Mersenne primes are real numbers. Real numbers are opaque. Each real number is an even number. Every even number is not blue. Even numbers are numbers. Numbers are bright. Numbers are fractions. Every negative number is not opaque. Fractions are bitter. Fractions are natural numbers. Sam is an integer. Is the following statement true or false? Sam is not opaque., Sam is an integer. Integers are Mersenne primes. Sam is a Mersenne prime. Mersenne primes are real numbers. Sam is a real number. Real numbers are opaque. Sam is opaque. ,False,Sam is not opaque
6, Each composite number is bright. Each composite number is a Mersenne prime. Each Mersenne prime is luminous. Each Mersenne prime is a number. Numbers are opaque. Every number is an integer. Integers are happy. Integers are negative numbers. Every fraction is not mean. Every negative number is blue. Negative numbers are prime numbers. Each prime number is cold. Prime numbers are real numbers. Real numbers are mean. Real numbers are natural numbers. Natural numbers are fruity. Each natural number is an even number. Max is a negative number. Is the following statement true or false? Max is not mean., Max is a negative number. Negative numbers are prime numbers. Max is a prime number. Prime numbers are real numbers. Max is a real number. Real numbers are mean. Max is mean. ,False,Max is not mean
7, Numbers are small. Every real number is not feisty. Each number is a Mersenne prime. Mersenne primes are transparent. Mersenne primes are natural numbers. Natural numbers are feisty. Every natural number is a fraction. Each fraction is dull. Fractions are negative numbers. Every negative number is earthy. Negative numbers are composite numbers. Each composite number is orange. Composite numbers are prime numbers. Polly is a number. Is the following statement true or false? Polly is not feisty., Polly is a number. Each number is a Mersenne prime. Polly is a Mersenne prime. Mersenne primes are natural numbers. Polly is a natural number. Natural numbers are feisty. Polly is feisty. ,False,Polly is not feisty
0, Every dog is cold. Dogs are carnivores. Each carnivore is bitter. Carnivores are animals. Animals are mean. Each animal is a snake. Vertebrates are shy. Every snake is dull. Each snake is a cow. Cows are not shy. Cows are sheep. Sheep are brown. Sheep are felines. Felines are wooden. Felines are cats. Each cat is not opaque. Cats are mammals. Sam is an animal. Is the following statement true or false? Sam is shy., Sam is an animal. Each animal is a snake. Sam is a snake. Each snake is a cow. Sam is a cow. Cows are not shy. Sam is not shy. ,False,Sam is shy
1, Cats are hot. Each dog is not metallic. Every cat is a feline. Felines are not opaque. Every feline is a mammal. Every mammal is not floral. Each mammal is a carnivore. Carnivores are amenable. Every carnivore is a sheep. Each sheep is not sour. Sheep are snakes. Each snake is metallic. Snakes are vertebrates. Vertebrates are small. Every vertebrate is a cow. Each cow is dull. Cows are animals. Wren is a carnivore. Is the following statement true or false? Wren is not metallic., Wren is a carnivore. Every carnivore is a sheep. Wren is a sheep. Sheep are snakes. Wren is a snake. Each snake is metallic. Wren is metallic. ,False,Wren is not metallic
2, Every crustacean is large. Crustaceans are animals. Animals are sour. Animals are spiders. Spiders are liquid. Each spider is a moth. Each moth is opaque. Each ant is not opaque. Each moth is a butterfly. Every butterfly is not nervous. Each butterfly is an invertebrate. Max is an animal. Is the following statement true or false? Max is not opaque., Max is an animal. Animals are spiders. Max is a spider. Each spider is a moth. Max is a moth. Each moth is opaque. Max is opaque. ,False,Max is not opaque
3, Every animal is cold. Animals are spiders. Each spider is not bitter. Every spider is an invertebrate. Each insect is not brown. Each invertebrate is large. Every invertebrate is an arthropod. Every arthropod is earthy. Arthropods are crustaceans. Crustaceans are not dull. Every crustacean is a moth. Moths are opaque. Each moth is a butterfly. Every butterfly is brown. Each butterfly is a lepidopteran. Lepidopterans are luminous. Lepidopterans are ants. Sally is a crustacean. Is the following statement true or false? Sally is brown., Sally is a crustacean. Every crustacean is a moth. Sally is a moth. Each moth is a butterfly. Sally is a butterfly. Every butterfly is brown. Sally is brown. ,True,Sally is brown
4, Cows are red. Cows are dogs. Dogs are shy. Each dog is a snake. Animals are not sweet. Snakes are earthy. Each snake is a vertebrate. Each vertebrate is transparent. Vertebrates are carnivores. Carnivores are small. Carnivores are cats. Every cat is sweet. Cats are sheep. Sheep are dull. Every sheep is a feline. Every feline is cold. Each feline is a mammal. Max is a vertebrate. Is the following statement true or false? Max is not sweet., Max is a vertebrate. Vertebrates are carnivores. Max is a carnivore. Carnivores are cats. Max is a cat. Every cat is sweet. Max is sweet. ,False,Max is not sweet
5, Every crustacean is not mean. Every crustacean is an animal. Animals are temperate. Animals are arthropods. Each arthropod is not happy. Every arthropod is an insect. Each insect is transparent. Insects are spiders. Every butterfly is happy. Spiders are bitter. Spiders are moths. Moths are fruity. Moths are lepidopterans. Each lepidopteran is large. Every lepidopteran is an ant. Every ant is wooden. Ants are invertebrates. Max is a crustacean. Is the following statement true or false? Max is happy., Max is a crustacean. Every crustacean is an animal. Max is an animal. Animals are arthropods. Max is an arthropod. Each arthropod is not happy. Max is not happy. ,False,Max is happy
6, Every prime number is large. Prime numbers are even numbers. Every even number is transparent. Each even number is a natural number. Each natural number is hot. Each natural number is an integer. Each integer is sour. Every integer is a Mersenne prime. Mersenne primes are feisty. Mersenne primes are fractions. Fractions are kind. Fractions are composite numbers. Every composite number is floral. Every composite number is a number. Real numbers are not floral. Numbers are red. Each number is a negative number. Stella is a Mersenne prime. Is the following statement true or false? Stella is floral., Stella is a Mersenne prime. Mersenne primes are fractions. Stella is a fraction. Fractions are composite numbers. Stella is a composite number. Every composite number is floral. Stella is floral. ,True,Stella is floral
