,question,answer,ground_truth,query,length-sentences
0, Numbers are not shy. Every number is a composite number. Each real number is shy. Composite numbers are blue. Composite numbers are natural numbers. Wren is a number. Is the following statement true or false? Wren is shy., Wren is a number. Numbers are not shy. Wren is not shy. ,False,Wren is shy,8
1, Real numbers are floral. Real numbers are numbers. Every natural number is not floral. Rex is a real number. Is the following statement true or false? Rex is not floral., Rex is a real number. Real numbers are floral. Rex is floral. ,False,Rex is not floral,6
2, Each cat is sweet. Each feline is not sweet. Felines are carnivores. Carnivores are floral. Each carnivore is a snake. Alex is a feline. Is the following statement true or false? Alex is not sweet., Alex is a feline. Each feline is not sweet. Alex is not sweet. ,True,Alex is not sweet,8
3, Prime numbers are not sour. Prime numbers are even numbers. Even numbers are not brown. Even numbers are composite numbers. Each real number is sour. Wren is a prime number. Is the following statement true or false? Wren is sour., Wren is a prime number. Prime numbers are not sour. Wren is not sour. ,False,Wren is sour,8
4, Each composite number is orange. Composite numbers are Mersenne primes. Integers are not orange. Each Mersenne prime is angry. Every Mersenne prime is a prime number. Alex is a composite number. Is the following statement true or false? Alex is not orange., Alex is a composite number. Each composite number is orange. Alex is orange. ,False,Alex is not orange,8
5, Each even number is not shy. Even numbers are numbers. Natural numbers are large. Each number is not orange. Numbers are real numbers. Real numbers are not large. Each real number is a Mersenne prime. Mersenne primes are dull. Mersenne primes are composite numbers. Composite numbers are angry. Every composite number is a prime number. Rex is a real number. Is the following statement true or false? Rex is not large., Rex is a real number. Real numbers are not large. Rex is not large. ,True,Rex is not large,14
6, Every number is not transparent. Numbers are integers. Integers are fruity. Natural numbers are not fruity. Every integer is a Mersenne prime. Each Mersenne prime is not bright. Mersenne primes are composite numbers. Every composite number is brown. Composite numbers are fractions. Rex is an integer. Is the following statement true or false? Rex is not fruity., Rex is an integer. Integers are fruity. Rex is fruity. ,False,Rex is not fruity,12
7, Every crustacean is fruity. Crustaceans are arthropods. Arthropods are transparent. Each arthropod is a spider. Animals are liquid. Every spider is not liquid. Spiders are insects. Sally is a spider. Is the following statement true or false? Sally is not liquid., Sally is a spider. Every spider is not liquid. Sally is not liquid. ,True,Sally is not liquid,10
8, Mammals are nervous. Mammals are snakes. Every snake is sweet. Every snake is a dog. Every cow is not sweet. Sally is a snake. Is the following statement true or false? Sally is sweet., Sally is a snake. Every snake is sweet. Sally is sweet. ,True,Sally is sweet,8
9, Ants are temperate. Ants are butterflies. Each butterfly is not earthy. Every butterfly is a lepidopteran. Each lepidopteran is dull. Each lepidopteran is a crustacean. Crustaceans are aggressive. Every crustacean is a spider. Animals are not dull. Max is a lepidopteran. Is the following statement true or false? Max is dull., Max is a lepidopteran. Each lepidopteran is dull. Max is dull. ,True,Max is dull,12
