question,answer,ground_truth,query
 Each prime number is mean. Every prime number is a negative number. Every negative number is not dull. Each negative number is a natural number. Natural numbers are not opaque. Every integer is spicy. Natural numbers are numbers. Every number is not cold. Numbers are Mersenne primes. Mersenne primes are liquid. Mersenne primes are fractions. Every fraction is not spicy. Fractions are even numbers. Every even number is floral. Even numbers are real numbers. Each real number is large. Real numbers are composite numbers. Alex is a negative number. Is the following statement true or false? Alex is not spicy., Alex is a negative number. Each negative number is a natural number. Alex is a natural number. Natural numbers are numbers. Alex is a number. Numbers are Mersenne primes. Alex is a Mersenne prime. Mersenne primes are fractions. Alex is a fraction. Every fraction is not spicy. Alex is not spicy. ,True,Alex is not spicy
 Every even number is floral. Even numbers are integers. Each integer is dull. Integers are numbers. Numbers are not temperate. Each number is a fraction. Real numbers are orange. Every fraction is feisty. Each fraction is a negative number. Negative numbers are transparent. Negative numbers are composite numbers. Composite numbers are not orange. Composite numbers are natural numbers. Natural numbers are liquid. Natural numbers are Mersenne primes. Each Mersenne prime is not angry. Mersenne primes are prime numbers. Sam is an integer. Is the following statement true or false? Sam is orange., Sam is an integer. Integers are numbers. Sam is a number. Each number is a fraction. Sam is a fraction. Each fraction is a negative number. Sam is a negative number. Negative numbers are composite numbers. Sam is a composite number. Composite numbers are not orange. Sam is not orange. ,False,Sam is orange
 Every prime number is not amenable. Every prime number is a number. Even numbers are not sour. Numbers are brown. Every number is a natural number. Each natural number is earthy. Natural numbers are real numbers. Real numbers are transparent. Each real number is a composite number. Composite numbers are wooden. Composite numbers are fractions. Every fraction is feisty. Each fraction is a negative number. Every negative number is sour. Negative numbers are integers. Each integer is bright. Every integer is a Mersenne prime. Stella is a natural number. Is the following statement true or false? Stella is not sour., Stella is a natural number. Natural numbers are real numbers. Stella is a real number. Each real number is a composite number. Stella is a composite number. Composite numbers are fractions. Stella is a fraction. Each fraction is a negative number. Stella is a negative number. Every negative number is sour. Stella is sour. ,False,Stella is not sour
 Every crustacean is nervous. Each moth is fruity. Each crustacean is an ant. Each ant is spicy. Every ant is an insect. Insects are wooden. Insects are invertebrates. Invertebrates are dull. Invertebrates are arthropods. Arthropods are amenable. Arthropods are spiders. Spiders are not fruity. Each spider is a butterfly. Butterflies are large. Butterflies are lepidopterans. Each lepidopteran is not blue. Lepidopterans are animals. Wren is an ant. Is the following statement true or false? Wren is fruity., Wren is an ant. Every ant is an insect. Wren is an insect. Insects are invertebrates. Wren is an invertebrate. Invertebrates are arthropods. Wren is an arthropod. Arthropods are spiders. Wren is a spider. Spiders are not fruity. Wren is not fruity. ,False,Wren is fruity
 Each sheep is luminous. Sheep are animals. Animals are not hot. Animals are carnivores. Every carnivore is not spicy. Carnivores are felines. Felines are kind. Felines are dogs. Each dog is transparent. Each dog is a snake. Each snake is dull. Every snake is a mammal. Each mammal is red. Each cat is not transparent. Mammals are cows. Cows are shy. Cows are vertebrates. Wren is a sheep. Is the following statement true or false? Wren is not transparent., Wren is a sheep. Sheep are animals. Wren is an animal. Animals are carnivores. Wren is a carnivore. Carnivores are felines. Wren is a feline. Felines are dogs. Wren is a dog. Each dog is transparent. Wren is transparent. ,False,Wren is not transparent
 Every integer is kind. Each integer is a Mersenne prime. Mersenne primes are small. Every Mersenne prime is a prime number. Prime numbers are not dull. Each prime number is a composite number. Every composite number is opaque. Each composite number is a real number. Every real number is feisty. Real numbers are fractions. Fractions are orange. Each fraction is an even number. Each number is not temperate. Even numbers are temperate. Each even number is a negative number. Every negative number is not sweet. Negative numbers are natural numbers. Rex is a prime number. Is the following statement true or false? Rex is not temperate., Rex is a prime number. Each prime number is a composite number. Rex is a composite number. Each composite number is a real number. Rex is a real number. Real numbers are fractions. Rex is a fraction. Each fraction is an even number. Rex is an even number. Even numbers are temperate. Rex is temperate. ,False,Rex is not temperate
 Snakes are opaque. Each snake is an animal. Each animal is bright. Animals are carnivores. Carnivores are sour. Each carnivore is a vertebrate. Vertebrates are metallic. Every cat is not orange. Every vertebrate is a mammal. Each mammal is orange. Every mammal is a sheep. Each sheep is happy. Sheep are dogs. Alex is a snake. Is the following statement true or false? Alex is not orange., Alex is a snake. Each snake is an animal. Alex is an animal. Animals are carnivores. Alex is a carnivore. Each carnivore is a vertebrate. Alex is a vertebrate. Every vertebrate is a mammal. Alex is a mammal. Each mammal is orange. Alex is orange. ,False,Alex is not orange
 Natural numbers are sour. Every natural number is a real number. Every real number is hot. Real numbers are Mersenne primes. Mersenne primes are opaque. Mersenne primes are prime numbers. Prime numbers are large. Prime numbers are composite numbers. Each composite number is orange. Every negative number is not dull. Every composite number is a number. Every number is dull. Each number is an even number. Even numbers are earthy. Even numbers are integers. Integers are not metallic. Integers are fractions. Polly is a real number. Is the following statement true or false? Polly is not dull., Polly is a real number. Real numbers are Mersenne primes. Polly is a Mersenne prime. Mersenne primes are prime numbers. Polly is a prime number. Prime numbers are composite numbers. Polly is a composite number. Every composite number is a number. Polly is a number. Every number is dull. Polly is dull. ,False,Polly is not dull
 Each sheep is not fruity. Sheep are carnivores. Every carnivore is spicy. Every carnivore is a snake. Snakes are large. Each snake is a feline. Every feline is nervous. Felines are vertebrates. Vertebrates are wooden. Cows are not dull. Every vertebrate is a mammal. Mammals are not hot. Mammals are dogs. Dogs are dull. Dogs are cats. Every cat is transparent. Every cat is an animal. Wren is a snake. Is the following statement true or false? Wren is not dull., Wren is a snake. Each snake is a feline. Wren is a feline. Felines are vertebrates. Wren is a vertebrate. Every vertebrate is a mammal. Wren is a mammal. Mammals are dogs. Wren is a dog. Dogs are dull. Wren is dull. ,False,Wren is not dull
 Numbers are not shy. Integers are cold. Integers are composite numbers. Each composite number is luminous. Composite numbers are natural numbers. Each natural number is sweet. Natural numbers are prime numbers. Each prime number is kind. Each prime number is a real number. Each real number is shy. Real numbers are negative numbers. Negative numbers are bright. Negative numbers are even numbers. Even numbers are transparent. Even numbers are Mersenne primes. Each Mersenne prime is fruity. Mersenne primes are fractions. Sally is an integer. Is the following statement true or false? Sally is not shy., Sally is an integer. Integers are composite numbers. Sally is a composite number. Composite numbers are natural numbers. Sally is a natural number. Natural numbers are prime numbers. Sally is a prime number. Each prime number is a real number. Sally is a real number. Each real number is shy. Sally is shy. ,False,Sally is not shy
