answer,depth,len,used_facts,used_rules,premise,hypothesis
False,1,2,"[array(['The lion sees the cat.'], dtype=object)]","[array(['If someone sees the cat then they visit the lion.'], dtype=object)]",The lion is round. The cat visits the lion. The lion sees the squirrel. The lion sees the cat. The squirrel chases the lion. The rabbit sees the lion. The lion is cold. The squirrel sees the lion. The rabbit chases the cat. The cat visits the rabbit. The squirrel visits the lion. The rabbit visits the cat. The lion chases the rabbit. The cat sees the lion. The cat chases the rabbit. The cat is green. If someone sees the lion then the lion chases the cat. If someone is round and they visit the lion then they are kind. If the rabbit is kind and the rabbit sees the lion then the rabbit chases the cat. If someone visits the squirrel and they chase the lion then the lion is cold. If someone is round and green then they visit the lion. If someone is nice then they see the squirrel. If someone sees the cat then they visit the lion. If someone chases the rabbit and the rabbit visits the lion then the lion chases the cat. ,The lion does not visit the lion.
False,1,2,"[array(['The bear is blue.'], dtype=object)]","[array(['If someone is blue then they like the bear.'], dtype=object)]",The rabbit chases the bear. The lion visits the bear. The rabbit likes the cow. The lion likes the rabbit. The bear is blue. The bear likes the cow. The cow chases the bear. The bear is young. The bear visits the cow. The rabbit likes the bear. The rabbit visits the cow. The cow is blue. The rabbit visits the bear. The rabbit is blue. The cow likes the lion. The lion chases the cow. If someone is blue and they visit the rabbit then the rabbit is young. If someone is blue then they like the bear. ,The bear does not like the bear.
True,1,2,"[array(['Dave is big.'], dtype=object)]","[array(['All big things are red.'], dtype=object)]","Dave is big. All smart things are young. If something is smart and big then it is young. All blue things are red. If something is big and nice then it is smart. If Dave is big then Dave is kind. All big things are red. All young, kind things are red. ",Dave is red.
False,1,2,"[array(['Gary is smart.'], dtype=object)]","[array(['All smart things are young.'], dtype=object)]","Gary is smart. Erin is cold. If something is young then it is cold. All blue things are young. All smart things are young. Smart things are kind. If Erin is young and Erin is blue then Erin is smart. Cold, young things are smart. All cold things are kind. Blue things are young. ",Gary is not young.
True,1,3,"[array(['Bob is white.', 'Bob is not big.'], dtype=object)]","[array(['If something is white and not big then it is not cold.'],
       dtype=object)                                              ]",Bob is not big. Gary is not big. Anne is big. Bob is white. Bob is not quiet. Anne is white. Anne is quiet. Anne is green. Bob is green. Gary is furry. If something is white and not big then it is not cold. ,Bob is not cold.
True,1,2,"[array(['Harry is smart.'], dtype=object)]","[array(['Smart things are not furry.'], dtype=object)]",Charlie is not smart. Harry is smart. Dave is round. Smart things are not furry. If something is smart and not furry then it is big. If something is quiet and smart then it is furry. ,Harry is not furry.
False,1,2,"[array(['Anne is rough.'], dtype=object)
 array(['Anne is furry.', 'Anne is quiet.'], dtype=object)]","[array(['Rough people are white.'], dtype=object)
 array(['If someone is furry then they are blue.',
        'If someone is blue and quiet then they are rough.',
        'Rough people are white.'], dtype=object)           ]",Bob is rough. Anne is smart. Anne is rough. Anne is furry. Bob is white. Harry is blue. Harry is green. Harry is smart. Anne is quiet. Anne is green. Harry is rough. Harry is quiet. Rough people are white. If someone is blue and white then they are smart. If Bob is furry and Bob is rough then Bob is quiet. If someone is furry then they are blue. If Anne is furry and Anne is blue then Anne is smart. If someone is blue and quiet then they are rough. ,Anne is not white.
True,1,2,"[array(['Fiona is cold.'], dtype=object)]","[array(['If something is cold then it is white.'], dtype=object)]",Erin is quiet. Bob is rough. Fiona is cold. Fiona is not round. Bob is young. Bob is kind. Bob is not quiet. Erin is rough. Fiona is quiet. Erin is young. Erin is round. Fiona is young. White things are kind. If something is cold then it is white. Cold things are quiet. ,Fiona is white.
True,1,2,"[array(['Dave is young.'], dtype=object)]","[array(['All young people are blue.'], dtype=object)]","Charlie is nice. Erin is red. Bob is quiet. Dave is white. Dave is young. Dave is nice. Charlie is young. Bob is nice. Dave is quiet. Dave is red. Dave is smart. Bob is white. Charlie is quiet. Charlie is red. Charlie is white. Erin is smart. Nice people are white. All young people are blue. All young people are red. All white, nice people are smart. All white, young people are smart. All young people are quiet. ",Dave is blue.
True,1,2,"[array(['The bald eagle is nice.'], dtype=object)]","[array(['If someone is nice then they are big.'], dtype=object)]",The bald eagle is nice. Blue people are big. If someone is young then they are kind. If the bald eagle is kind and the bald eagle is nice then the bald eagle is young. All big people are young. Young people are kind. If someone is blue and nice then they are big. If someone is nice then they are big. If the bald eagle is big and the bald eagle is kind then the bald eagle is not blue. ,The bald eagle is big.
